density,pop,county,state
51.34067194,46253,Monroe,Wisconsin
74.481945647,42754,Pierce,Wisconsin
92.052392838,72999,Wood,Wisconsin
14.892202742,15562,Ashland,Wisconsin
157.37345546,50089,Calumet,Wisconsin
8.799013496,4295,Florence,Wisconsin
152.32759668,84769,Jefferson,Wisconsin
623.74150741,169561,Kenosha,Wisconsin
9.650222492,46341,Campbell,Wyoming
4.8658553535,19830,Lincoln,Wyoming
2.0329058227,8445,Johnson,Wyoming
14.953176216,79858,Natrona,Wyoming
37.045810193,99500,Laramie,Wyoming
3.2484416241,13822,Converse,Wyoming
0.8971725038,2356,Niobrara,Wyoming
22.467540524,123958,San Juan,New Mexico
2.8716526292,8253,Quay,New Mexico
4.0512386308,19572,Lincoln,New Mexico
10.649933773,64615,Chaves,New Mexico
16.183646715,71070,Lea,New Mexico
78.705888768,150358,Santa Fe,New Mexico
1.0611590963,4059,Union,New Mexico
2.5808402227,10791,Sierra,New Mexico
2.5031646355,16637,Socorro,New Mexico
7.5632109614,18500,Roosevelt,New Mexico
57.29626104,218195,Doña Ana,New Mexico
177.36131825,19369,Los Alamos,New Mexico
6.6408197872,38921,Rio Arriba,New Mexico
5.7771715417,27277,San Miguel,New Mexico
71.889786821,76688,Valencia,New Mexico
4.6218283705,15461,Torrance,New Mexico
584.81475658,679121,Bernalillo,New Mexico
10.206331194,67490,Otero,New Mexico
5.8755708181,26675,Cibola,New Mexico
0.7524405615,1748,De Baca,New Mexico
1.4192488889,4300,Guadalupe,New Mexico
0.5093739202,3527,Catron,New Mexico
26403,8623000,New York City,New York
49.852132934,30999,Schoharie,New York
33726.504271,1418207,Bronx,New York
591.64396863,460528,Onondaga,New York
107.74438361,53383,Fulton,New York
77.556663383,80485,Clinton,New York
105.08188284,34016,Seneca,New York
243.25640923,158714,Rensselaer,New York
426.87222133,98320,Putnam,New York
30.703152587,50022,Franklin,New York
43.441185009,61319,Herkimer,New York
170.44802449,109777,Ontario,New York
20719.741247,2253858,Queens,New York
68.590607713,95379,Steuben,New York
2.5713611478,4416,Hamilton,New York
73.636188916,61204,Washington,New York
119.69102866,126903,Chautauqua,New York
36901.373131,2559903,Kings,New York
71874.138732,1628706,New York,New York
92.9464711,48203,Tioga,New York
110.72575473,76576,Cayuga,New York
103.132638,40352,Orleans,New York
283.78298772,229863,Saratoga,New York
1878.3505416,325789,Rockland,New York
93.689022044,59461,Columbia,New York
20.6301086,26296,Lewis,New York
400.65064847,209281,Niagara,New York
2246.9377106,967506,Westchester,New York
30.597824625,44135,Delaware,New York
20.55884778,36885,Essex,New York
122.10117072,49221,Montgomery,New York
4767.2768183,1356924,Nassau,New York
8277.8254914,476143,Richmond,New York
40.208969052,107740,St. Lawrence,New York
54.232858875,17807,Schuyler,New York
215.27841332,102180,Tompkins,New York
73.734692899,63944,Warren,New York
52.828329489,47207,Chenango,New York
95.396124759,47581,Cortland,New York
369.78375908,294218,Dutchess,New York
86.571938376,109834,Jefferson,New York
1129.2528105,741770,Monroe,New York
188.62097719,228671,Oneida,New York
1619.4232899,1476601,Suffolk,New York
157.94992078,177573,Ulster,New York
67.244018547,39859,Wyoming,New York
204.87412967,83456,Chemung,New York
99.585045201,62914,Livingston,New York
123.07519405,117124,Oswego,New York
59.389832161,59493,Otsego,New York
72.915339799,47188,Greene,New York
148.91272452,89918,Wayne,New York
584.33256541,305506,Albany,New York
44.77637219,46091,Allegany,New York
